_MEMBER_CNet-SVM,_MEMBER_Enet-SVM,_MEMBER_L2SCAD-SVM,_MEMBER_SCAD-SVM,_MEMBER_SGLasso-SVM,_MEMBER_SVM-RFE,_MEMBER_mRMR-SVM,_LogP_CNet-SVM,_LogP_Enet-SVM,_LogP_L2SCAD-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,0,0,1,0,1,1,-11.605839151481774,0.0,0.0,-4.618423880144953,0.0,-3.380225691506163,-11.856851433018207,hsa05224,M1001011,4,0,KEGG Pathway,24,Breast cancer,,-22.035100255838625,33.92398427260812,24.084235212832617,30198,147,109,18,16.513761467889907,3.556454049105686,208|1499|2246|2253|3725|3815|3845|4040|4616|5595|6464|7480|8817|23493|26508|28514|51176|54361,AKT2|CTNNB1|FGF1|FGF8|JUN|KIT|KRAS|LRP6|GADD45B|MAPK3|SHC1|WNT10B|FGF18|HEY2|HEYL|DLL1|LEF1|WNT4,-17.687029156758737,0,1,1,1,-22.035100255838625,123.08967391304348,
1,0,0,1,0,1,1,-11.37481065727623,0.0,0.0,-4.533078741863367,0.0,-3.296813210851979,-11.625566562609823,WP4262,M1001011,4,0,WikiPathways,27,Breast cancer pathway,,-21.501866982645762,31.763220943142638,23.260321301993567,30198,157,109,18,16.513761467889907,3.556454049105686,208|1499|2246|2253|3725|3815|3845|4040|4616|5595|6464|7480|8817|23493|26508|28514|51176|54361,AKT2|CTNNB1|FGF1|FGF8|JUN|KIT|KRAS|LRP6|GADD45B|MAPK3|SHC1|WNT10B|FGF18|HEY2|HEYL|DLL1|LEF1|WNT4,-17.454825879229855,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,1,0,1,1,-8.531559989470233,0.0,0.0,-4.378518182135736,0.0,-2.744159189542168,-10.24466383466783,hsa05200,M1001011,4,0,KEGG Pathway,24,Pathways in cancer,,-15.462127753613217,10.956616389364019,13.932000805526311,30198,531,109,21,19.26605504587156,3.7775588296581786,208|1284|1499|2002|2246|2253|3725|3815|3845|4040|4089|4436|4616|5595|7480|8817|23493|26508|28514|51176|54361,AKT2|COL4A2|CTNNB1|ELK1|FGF1|FGF8|JUN|KIT|KRAS|LRP6|SMAD4|MSH2|GADD45B|MAPK3|WNT10B|FGF18|HEY2|HEYL|DLL1|LEF1|WNT4,-11.716116645861291,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-10.416986508951222,0.0,0.0,0.0,0.0,0.0,-6.939333363881276,WP3931,M1000001,2,0,WikiPathways,27,Embryonic stem cell pluripotency pathways,,-13.743342817209903,27.937398812736102,17.72101981860306,30198,119,109,12,11.009174311926605,2.9980353079826774,208|1499|2002|2246|2253|3725|4040|4089|6927|7480|8817|54361,AKT2|CTNNB1|ELK1|FGF1|FGF8|JUN|LRP6|SMAD4|HNF1A|WNT10B|FGF18|WNT4,-10.094241722466034,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,1,1,0,1,1,-7.415379758465287,0.0,-2.384656950122109,-3.0565989045546127,0.0,-2.8460851067906563,-7.65737507244103,GO:0070848,M1011011,5,0,GO Biological Processes,19,response to growth factor,19_GO:0050896 response to stimulus,-11.516476068418562,9.45738918978667,11.454180808102656,30198,498,109,17,15.596330275229358,3.4751905887526577,1284|1311|1385|1499|2002|2246|2253|3381|3725|4089|5179|5595|6464|8817|26508|51176|54361,COL4A2|COMP|CREB1|CTNNB1|ELK1|FGF1|FGF8|IBSP|JUN|SMAD4|PENK|MAPK3|SHC1|FGF18|HEYL|LEF1|WNT4,-8.168404969338674,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,1,0,1,1,-4.062122723215157,0.0,0.0,-3.232873242940271,0.0,-2.0496641886021054,-11.113222619903308,R-HSA-5663202,M1001011,4,0,Reactome Gene Sets,6,Diseases of signal transduction by growth factor receptors and second messengers,,-11.368523509762294,10.237260842850182,11.652670964446664,30198,433,109,16,14.678899082568808,3.389703553897986,208|1385|1499|1523|2246|2253|3815|3845|4040|4089|5595|6464|8817|23493|26508|28514,AKT2|CREB1|CTNNB1|CUX1|FGF1|FGF8|KIT|KRAS|LRP6|SMAD4|MAPK3|SHC1|FGF18|HEY2|HEYL|DLL1,-8.061845095840631,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-5.177053828163308,0.0,0.0,0.0,0.0,0.0,-9.465911726259273,WP5087,M1000001,2,0,WikiPathways,27,Malignant pleural mesothelioma,,-11.161361028324766,9.916630749338095,11.431284436827644,30198,447,109,16,14.678899082568808,3.389703553897986,208|1284|1385|1499|2002|2246|2253|3725|3815|4040|5595|6464|7480|8817|51176|54361,AKT2|COL4A2|CREB1|CTNNB1|ELK1|FGF1|FGF8|JUN|KIT|LRP6|MAPK3|SHC1|WNT10B|FGF18|LEF1|WNT4,-7.892471175292503,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,1,0,0,0,1,-6.306012995879549,0.0,-2.460280660753204,0.0,0.0,0.0,-7.866295928777082,GO:0071363,M1010001,3,0,GO Biological Processes,19,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-10.863722250776892,9.471653728534463,11.11693174685367,30198,468,109,16,14.678899082568808,3.389703553897986,1284|1311|1385|1499|2246|2253|3381|3725|4089|5179|5595|6464|8817|26508|51176|54361,COL4A2|COMP|CREB1|CTNNB1|FGF1|FGF8|IBSP|JUN|SMAD4|PENK|MAPK3|SHC1|FGF18|HEYL|LEF1|WNT4,-7.661779187375242,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,0,1,-4.587688140352509,0.0,0.0,0.0,0.0,0.0,-6.616716984719361,R-HSA-74751,M1000001,2,0,Reactome Gene Sets,6,Insulin receptor signalling cascade,,-8.995130790479159,35.91335372069317,15.455365466697494,30198,54,109,7,6.422018348623853,2.3480609122499354,208|2246|2253|3845|5595|6464|8817,AKT2|FGF1|FGF8|KRAS|MAPK3|SHC1|FGF18,-6.008787527416864,0,1,0,0,-22.035100255838625,123.08967391304348,
1,0,0,0,0,1,1,-3.510880228508419,0.0,0.0,0.0,0.0,-3.6218824852922316,-7.738528706650643,WP3932,M1000011,3,0,WikiPathways,27,Focal adhesion: PI3K-Akt-mTOR-signaling pathway,,-8.861040755182835,10.759062973189632,10.378221581513577,30198,309,109,12,11.009174311926605,2.9980353079826774,208|1284|1311|1385|2246|2253|3381|3815|3845|5595|7148|8817,AKT2|COL4A2|COMP|CREB1|FGF1|FGF8|IBSP|KIT|KRAS|MAPK3|TNXB|FGF18,-5.893180897814553,0,1,0,0,-22.035100255838625,123.08967391304348,
