Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
KEGG Pathway,24,hsa05224,Breast cancer,,-12,51,20,30198,147,32,8,25,7.7,2246|2253|3725|3845|7480|26508|28514|54361,FGF1|FGF8|JUN|KRAS|WNT10B|HEYL|DLL1|WNT4,-8,CNet-SVM
WikiPathways,27,WP4262,Breast cancer pathway,,-11,48,19,30198,157,32,8,25,7.7,2246|2253|3725|3845|7480|26508|28514|54361,FGF1|FGF8|JUN|KRAS|WNT10B|HEYL|DLL1|WNT4,-7.9,CNet-SVM
WikiPathways,27,WP3931,Embryonic stem cell pluripotency pathways,,-10,56,19,30198,119,32,7,22,7.3,2002|2246|2253|3725|6927|7480|54361,ELK1|FGF1|FGF8|JUN|HNF1A|WNT10B|WNT4,-7,CNet-SVM
KEGG Pathway,24,hsa05200,Pathways in cancer,,-8.5,16,11,30198,531,32,9,28,7.9,2002|2246|2253|3725|3845|7480|26508|28514|54361,ELK1|FGF1|FGF8|JUN|KRAS|WNT10B|HEYL|DLL1|WNT4,-5.4,CNet-SVM
GO Biological Processes,19,GO:0072080,nephron tubule development,19_GO:0032502 developmental process,-7.8,62,17,30198,76,32,5,16,6.4,2246|2253|26508|28514|54361,FGF1|FGF8|HEYL|DLL1|WNT4,-4.8,CNet-SVM
GO Biological Processes,19,GO:0061326,renal tubule development,19_GO:0032502 developmental process,-7.7,59,17,30198,80,32,5,16,6.4,2246|2253|26508|28514|54361,FGF1|FGF8|HEYL|DLL1|WNT4,-4.7,CNet-SVM
GO Biological Processes,19,GO:0061061,muscle structure development,19_GO:0032502 developmental process,-7.5,16,11,30198,484,32,8,25,7.7,1311|1959|3845|5307|7480|26508|28514|54361,COMP|EGR2|KRAS|PITX1|WNT10B|HEYL|DLL1|WNT4,-4.6,CNet-SVM
GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-7.4,15,10,30198,498,32,8,25,7.7,1311|2002|2246|2253|3725|5179|26508|54361,COMP|ELK1|FGF1|FGF8|JUN|PENK|HEYL|WNT4,-4.6,CNet-SVM
Canonical Pathways,11,M5883,NABA SECRETED FACTORS,,-7.2,19,11,30198,343,32,7,22,7.3,2246|2253|2920|3624|7480|54361|147381,FGF1|FGF8|CXCL2|INHBA|WNT10B|WNT4|CBLN2,-4.4,CNet-SVM
GO Biological Processes,19,GO:0072009,nephron epithelium development,19_GO:0032502 developmental process,-7.2,48,15,30198,99,32,5,16,6.4,2246|2253|26508|28514|54361,FGF1|FGF8|HEYL|DLL1|WNT4,-4.4,CNet-SVM
WikiPathways,27,WP4787,Osteoblast differentiation and related diseases,,-6.8,39,14,30198,120,32,5,16,6.4,2246|2253|7480|28514|54361,FGF1|FGF8|WNT10B|DLL1|WNT4,-4,CNet-SVM
GO Biological Processes,19,GO:0048732,gland development,19_GO:0032502 developmental process,-6.8,16,10,30198,402,32,7,22,7.3,2002|2253|3725|5021|5307|6927|54361,ELK1|FGF8|JUN|OXTR|PITX1|HNF1A|WNT4,-4,CNet-SVM
GO Biological Processes,19,GO:0007519,skeletal muscle tissue development,19_GO:0032502 developmental process,-6.7,39,14,30198,122,32,5,16,6.4,1959|5307|7480|26508|28514,EGR2|PITX1|WNT10B|HEYL|DLL1,-4,CNet-SVM
GO Biological Processes,19,GO:0072006,nephron development,19_GO:0032502 developmental process,-6.6,37,13,30198,128,32,5,16,6.4,2246|2253|26508|28514|54361,FGF1|FGF8|HEYL|DLL1|WNT4,-3.9,CNet-SVM
GO Biological Processes,19,GO:0072073,kidney epithelium development,19_GO:0032502 developmental process,-6.6,37,13,30198,128,32,5,16,6.4,2246|2253|26508|28514|54361,FGF1|FGF8|HEYL|DLL1|WNT4,-3.9,CNet-SVM
GO Biological Processes,19,GO:0060538,skeletal muscle organ development,19_GO:0032502 developmental process,-6.5,35,13,30198,134,32,5,16,6.4,1959|5307|7480|26508|28514,EGR2|PITX1|WNT10B|HEYL|DLL1,-3.9,CNet-SVM
GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-6.3,14,9.3,30198,468,32,7,22,7.3,1311|2246|2253|3725|5179|26508|54361,COMP|FGF1|FGF8|JUN|PENK|HEYL|WNT4,-3.7,CNet-SVM
KEGG Pathway,24,hsa05226,Gastric cancer,,-6.3,32,12,30198,149,32,5,16,6.4,2246|2253|3845|7480|54361,FGF1|FGF8|KRAS|WNT10B|WNT4,-3.7,CNet-SVM
GO Biological Processes,19,GO:0001822,kidney development,19_GO:0032502 developmental process,-6.3,20,10,30198,287,32,6,19,6.9,2246|2253|26508|28514|54361|168002,FGF1|FGF8|HEYL|DLL1|WNT4|DACT2,-3.7,CNet-SVM
WikiPathways,27,WP4928,MAPK pathway in congenital thyroid cancer,,-6.2,1.8e+02,23,30198,16,32,3,9.4,5.2,2002|3725|3845,ELK1|JUN|KRAS,-3.7,CNet-SVM
GO Biological Processes,19,GO:0072001,renal system development,19_GO:0032502 developmental process,-6.2,19,10,30198,296,32,6,19,6.9,2246|2253|26508|28514|54361|168002,FGF1|FGF8|HEYL|DLL1|WNT4|DACT2,-3.7,CNet-SVM
GO Biological Processes,19,GO:0007420,brain development,19_GO:0032502 developmental process,-6.1,10,8.2,30198,744,32,8,25,7.7,1959|2253|3624|3845|5021|5307|28514|54361,EGR2|FGF8|INHBA|KRAS|OXTR|PITX1|DLL1|WNT4,-3.6,CNet-SVM
WikiPathways,27,WP4239,Epithelial to mesenchymal transition in colorectal cancer,,-6.1,29,12,30198,165,32,5,16,6.4,3845|7480|8788|28514|54361,KRAS|WNT10B|DLK1|DLL1|WNT4,-3.6,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654704,SHC-mediated cascade:FGFR3,,-6.1,1.6e+02,22,30198,18,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-3.5,CNet-SVM
Canonical Pathways,11,M5885,NABA MATRISOME ASSOCIATED,,-6.1,10,8.2,30198,751,32,8,25,7.7,1472|2246|2253|2920|3624|7480|54361|147381,CST4|FGF1|FGF8|CXCL2|INHBA|WNT10B|WNT4|CBLN2,-3.5,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654719,SHC-mediated cascade:FGFR4,,-5.9,1.4e+02,20,30198,20,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-3.5,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654706,FRS-mediated FGFR3 signaling,,-5.9,1.4e+02,20,30198,20,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-3.5,CNet-SVM
GO Biological Processes,19,GO:0001655,urogenital system development,19_GO:0032502 developmental process,-5.9,17,9.5,30198,334,32,6,19,6.9,2246|2253|26508|28514|54361|168002,FGF1|FGF8|HEYL|DLL1|WNT4|DACT2,-3.5,CNet-SVM
GO Biological Processes,19,GO:0060322,head development,19_GO:0032502 developmental process,-5.9,9.6,7.9,30198,789,32,8,25,7.7,1959|2253|3624|3845|5021|5307|28514|54361,EGR2|FGF8|INHBA|KRAS|OXTR|PITX1|DLL1|WNT4,-3.5,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654688,SHC-mediated cascade:FGFR1,,-5.8,1.3e+02,20,30198,21,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-3.4,CNet-SVM
GO Biological Processes,19,GO:0048729,tissue morphogenesis,19_GO:0032502 developmental process,-5.8,12,8.4,30198,557,32,7,22,7.3,2246|2253|3624|3845|26508|28514|54361,FGF1|FGF8|INHBA|KRAS|HEYL|DLL1|WNT4,-3.4,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654712,FRS-mediated FGFR4 signaling,,-5.8,1.3e+02,20,30198,22,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-3.4,CNet-SVM
Reactome Gene Sets,6,R-HSA-5655332,Signaling by FGFR3 in disease,,-5.8,1.3e+02,20,30198,22,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-3.4,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654699,SHC-mediated cascade:FGFR2,,-5.7,1.2e+02,19,30198,23,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-3.3,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654693,FRS-mediated FGFR1 signaling,,-5.7,1.2e+02,19,30198,23,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-3.3,CNet-SVM
GO Biological Processes,19,GO:0030900,forebrain development,19_GO:0032502 developmental process,-5.6,15,9,30198,374,32,6,19,6.9,2253|3624|3845|5021|5307|54361,FGF8|INHBA|KRAS|OXTR|PITX1|WNT4,-3.3,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654700,FRS-mediated FGFR2 signaling,,-5.6,1.1e+02,18,30198,25,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-3.3,CNet-SVM
GO Biological Processes,19,GO:0031128,developmental induction,19_GO:0032502 developmental process,-5.6,1.1e+02,18,30198,25,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-3.3,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654708,Downstream signaling of activated FGFR3,,-5.6,1.1e+02,18,30198,25,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-3.3,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654716,Downstream signaling of activated FGFR4,,-5.5,1e+02,18,30198,27,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-3.2,CNet-SVM
WikiPathways,27,WP3845,Canonical and non-canonical Notch signaling,,-5.5,1e+02,18,30198,27,32,3,9.4,5.2,8788|28514|65989,DLK1|DLL1|DLK2,-3.2,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654696,Downstream signaling of activated FGFR2,,-5.4,94,17,30198,30,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-3.1,CNet-SVM
GO Biological Processes,19,GO:0110110,positive regulation of animal organ morphogenesis,19_GO:0032502 developmental process,-5.4,94,17,30198,30,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-3.1,CNet-SVM
Reactome Gene Sets,6,R-HSA-5654687,Downstream signaling of activated FGFR1,,-5.3,91,16,30198,31,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-3.1,CNet-SVM
WikiPathways,27,WP399,Wnt signaling pathway and pluripotency,,-5.3,35,12,30198,107,32,4,12,5.8,3725|7480|10009|54361,JUN|WNT10B|ZBTB33|WNT4,-3.1,CNet-SVM
