GO,Description,_LogP_CNet-SVM,_LogP_Enet-SVM,_LogP_L2SCAD-SVM,_LogP_Lasso-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM
M14012,GATA1 04,-5.228358129352772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M5479,SRF Q4,-4.001292435850417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M11934,SRF Q5 01,-4.0381180539532044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M14649,FREAC4 01,-6.248890393533117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M15183,E12 Q6,-3.7649786532975646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M16291,YNGTTNNNATT UNKNOWN,-3.1900101560844645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M14186,GATA1 03,-3.88887098474041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M18920,GATA C,-3.746277747205683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M13849,TGACATY UNKNOWN,-3.170121737301103,0.0,0.0,0.0,0.0,-2.4783003068473186,-3.3042839458121143,0.0
M11921,NFKB Q6,-2.5941877880777855,0.0,0.0,-4.302359706748246,0.0,-2.7634069812072677,0.0,0.0
M9949,NFKAPPAB 01,-2.6085528438911236,0.0,0.0,-4.317463085973717,0.0,-2.7778993770961082,0.0,0.0
M30019,HSD17B8 TARGET GENES,0.0,0.0,0.0,0.0,0.0,-5.7413561490143294,0.0,0.0
M30190,TAF9B TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6616190458911717
M560,CP2 02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.954366717595686
M30054,MAML1 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6059135637614625
M29986,GUCY1B1 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2753150511506197
M30404,ZSCAN23 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.052383559868562
M10143,CREL 01,-2.5989562145152885,0.0,0.0,0.0,0.0,0.0,0.0,-3.9281510442353995
M14357,TATA C,0.0,0.0,-4.4761495119730235,0.0,0.0,0.0,0.0,0.0
M3150,TATA 01,0.0,0.0,-3.2097662174476467,0.0,0.0,0.0,0.0,0.0
