GO,Description,_LogP_CNet-SVM,_LogP_Enet-SVM,_LogP_L2SCAD-SVM,_LogP_Lasso-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM
C3811653,Experimental Organism Basal Cell Carcinoma,0.0,0.0,0.0,0.0,0.0,0.0,-2.0388109123370173,-6.713438254638204
C0027831,Neurofibromatosis 1,0.0,0.0,0.0,0.0,0.0,0.0,-2.4467542684793133,-6.261022650146409
C4551686,Malignant neoplasm of soft tissue,-2.2134315062078564,0.0,0.0,0.0,0.0,0.0,-3.2383476996255176,-7.775101442879287
C0152171,Idiopathic pulmonary hypertension,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.2858087993973975
C0032927,Precancerous Conditions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.494068720041625
C0040100,Thymoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.91759849417476
C0334299,Carcinoid tumor no ICD-O subtype,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.885248786752513
C0007112,Adenocarcinoma of prostate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.020726589132854
C0262584,"Carcinoma, Small Cell",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.591622985412212
C0017185,Gastrointestinal Neoplasms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.022716865925406
C1257915,Intestinal Polyposis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.89960068519384
C0346191,Carcinoma in situ of endometrium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1458936936055615
C1319315,Adenocarcinoma of large intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.367571195451682
C0345967,Malignant mesothelioma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.8299550347336995
C0334108,Multiple polyps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.992245696124708
C0555198,Malignant Glioma,0.0,0.0,0.0,0.0,0.0,-2.3721266084347277,0.0,-6.414038274462148
C0042133,Uterine Fibroids,-3.510747584704795,0.0,0.0,0.0,0.0,0.0,0.0,-7.211442142357122
C4721806,"Carcinoma, Basal Cell",0.0,0.0,-3.3578988351995207,0.0,0.0,0.0,0.0,-6.006352262870622
C0037579,Soft Tissue Neoplasms,0.0,0.0,-3.933962429753617,0.0,0.0,0.0,0.0,-6.5113323142736474
C0153690,Secondary malignant neoplasm of bone,-3.256200667747913,0.0,-6.91347486696951,0.0,-2.7295294161991777,0.0,-3.3910506758103187,-4.441310698350152
