_MEMBER_CNet-SVM,_MEMBER_Enet-SVM,_MEMBER_L2SCAD-SVM,_MEMBER_Lasso-SVM,_MEMBER_SCAD-SVM,_MEMBER_SGLasso-SVM,_MEMBER_SVM-RFE,_MEMBER_mRMR-SVM,_LogP_CNet-SVM,_LogP_Enet-SVM,_LogP_L2SCAD-SVM,_LogP_Lasso-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,0,0,0,1,0,0,0,0,0,0,0,-6.5,0,0,COVID054,M00000100,1,0,COVID,200,RNA_Xiong_PBMC_Up,,-6.5,22,11,30198,300,28,6,21,7.8,699|1063|22974|24137|55165|83540,BUB1|CENPF|TPX2|KIF4A|CEP55|NUF2,-3.4,0
1,0,0,0,0,0,0,0,-6.2,0,0,0,0,0,0,0,COVID042,M10000000,1,0,COVID,200,RNA_Sun_Calu-3_7h_Up,,-6.2,60,15,30198,63,32,4,12,5.8,2920|3624|3725|5021,CXCL2|INHBA|JUN|OXTR,-3.2,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-5.8,0,COVID217,M00000010,1,0,COVID,200,Proteome_Shen_Serum-nonsevere-vs-healthy_Down,,-5.8,1.3e+02,20,30198,23,30,3,10,5.5,1311|7148|10894,COMP|TNXB|LYVE1,-2.9,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-4.6,0,COVID213,M00000010,1,0,COVID,200,Proteome_Shen_Serum-severe-vs-healthy_Down,,-4.6,52,12,30198,58,30,3,10,5.5,1311|7148|10894,COMP|TNXB|LYVE1,-2.1,0
1,0,0,0,0,0,0,0,-3.9,0,0,0,0,0,0,0,COVID046,M10000000,1,0,COVID,200,RNA_Wyler_Caco-2_24h_Up,,-3.9,30,9.2,30198,95,32,3,9.4,5.2,1959|2920|3725,EGR2|CXCL2|JUN,-1.6,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.8,0,0,COVID134,M00000100,1,0,COVID,200,Proteome_Stukalov_A549-ACE2_24h_Down,,-3.8,14,7.1,30198,299,28,4,14,6.6,1063|22974|55165|128239,CENPF|TPX2|CEP55|IQGAP3,-1.6,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.8,0,0,COVID049,M00000100,1,0,COVID,200,RNA_Wyler_Calu-3_24h_Down,,-3.8,14,7.1,30198,300,28,4,14,6.6,1063|4751|24137|128239,CENPF|NEK2|KIF4A|IQGAP3,-1.6,0
1,0,0,0,0,1,0,0,-2.4,0,0,0,0,-2.6,0,0,COVID048,M10000100,2,0,COVID,200,RNA_Wyler_Calu-3_12h_Up,,-2.6,11,5.2,30198,300,28,3,11,5.8,699|2920|128239,BUB1|CXCL2|IQGAP3,-0.83,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,0,COVID057,M00000100,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_12h_Down,,-2.6,11,5.2,30198,300,28,3,11,5.8,699|1063|22974,BUB1|CENPF|TPX2,-0.83,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,0,COVID059,M00000100,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_24h_Down,,-2.6,11,5.2,30198,300,28,3,11,5.8,699|1063|22974,BUB1|CENPF|TPX2,-0.83,0
1,0,0,0,0,0,0,1,-2.4,0,0,0,0,0,0,-2.5,COVID010,M10000001,2,0,COVID,200,RNA_Blanco-Melo_A549-ACE2_Up,,-2.5,10,5,30198,300,30,3,10,5.5,905|5966|10773,CCNT2|REL|ZBTB6,-0.76,0
1,0,0,0,0,0,0,1,-2.4,0,0,0,0,0,0,-2.5,COVID038,M10000001,2,0,COVID,200,RNA_Sun_Calu-3_12h_Up,,-2.5,10,5,30198,300,30,3,10,5.5,905|1385|5966,CCNT2|CREB1|REL,-0.76,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.5,COVID193,M00000001,1,0,COVID,200,RNA_Stukalov_A549-ACE2_30h_Up,,-2.5,10,5,30198,300,30,3,10,5.5,4616|5966|6464,GADD45B|REL|SHC1,-0.76,0
1,0,0,0,0,0,0,0,-2.4,0,0,0,0,0,0,0,COVID016,M10000000,1,0,COVID,200,RNA_Blanco-Melo_Calu-3_Up,,-2.4,9.4,4.8,30198,300,32,3,9.4,5.2,2920|3624|3725,CXCL2|INHBA|JUN,-0.71,0
1,0,0,0,0,0,0,0,-2.4,0,0,0,0,0,0,0,COVID036,M10000000,1,0,COVID,200,RNA_Sun_Calu-3_0h_Up,,-2.4,9.4,4.8,30198,300,32,3,9.4,5.2,2920|3624|5021,CXCL2|INHBA|OXTR,-0.71,0
1,0,0,0,0,0,0,0,-2.4,0,0,0,0,0,0,0,COVID040,M10000000,1,0,COVID,200,RNA_Sun_Calu-3_24h_Up,,-2.4,9.4,4.8,30198,300,32,3,9.4,5.2,2920|3624|3725,CXCL2|INHBA|JUN,-0.71,0
1,0,0,0,0,0,0,0,-2.4,0,0,0,0,0,0,0,COVID050,M10000000,1,0,COVID,200,RNA_Wyler_Calu-3_24h_Up,,-2.4,9.4,4.8,30198,300,32,3,9.4,5.2,2920|3624|3725,CXCL2|INHBA|JUN,-0.71,0
1,0,0,0,0,0,0,0,-2.4,0,0,0,0,0,0,0,COVID243,M10000000,1,0,COVID,200,RNA_Riva_Vero-E6_24h_Up,,-2.4,9.4,4.8,30198,300,32,3,9.4,5.2,2920|3624|3725,CXCL2|INHBA|JUN,-0.71,0
