Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
CNet-SVM,WikiPathways,27,WP3931,Embryonic stem cell pluripotency pathways,,-11,1.1e+02,25,30198,119,14,6,43,13,2002|2246|2253|3725|7480|54361,ELK1|FGF1|FGF8|JUN|WNT10B|WNT4,-8.7
CNet-SVM,KEGG Pathway,24,hsa05224,Breast cancer,,-10,88,23,30198,147,14,6,43,13,2246|2253|3725|3845|7480|54361,FGF1|FGF8|JUN|KRAS|WNT10B|WNT4,-8.2
CNet-SVM,WikiPathways,27,WP4262,Breast cancer pathway,,-10,82,22,30198,157,14,6,43,13,2246|2253|3725|3845|7480|54361,FGF1|FGF8|JUN|KRAS|WNT10B|WNT4,-8.1
CNet-SVM,KEGG Pathway,24,hsa05200,Pathways in cancer,,-8.8,28,14,30198,531,14,7,50,13,2002|2246|2253|3725|3845|7480|54361,ELK1|FGF1|FGF8|JUN|KRAS|WNT10B|WNT4,-6.9
CNet-SVM,KEGG Pathway,24,hsa05226,Gastric cancer,,-8.3,72,19,30198,149,14,5,36,13,2246|2253|3845|7480|54361,FGF1|FGF8|KRAS|WNT10B|WNT4,-6.5
CNet-SVM,WikiPathways,27,WP5087,Malignant pleural mesothelioma,,-7.6,29,13,30198,447,14,6,43,13,2002|2246|2253|3725|7480|54361,ELK1|FGF1|FGF8|JUN|WNT10B|WNT4,-5.9
CNet-SVM,WikiPathways,27,WP4928,MAPK pathway in congenital thyroid cancer,,-7.4,4e+02,35,30198,16,14,3,21,11,2002|3725|3845,ELK1|JUN|KRAS,-5.7
CNet-SVM,GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-7.3,26,12,30198,498,14,6,43,13,2002|2246|2253|3725|5179|54361,ELK1|FGF1|FGF8|JUN|PENK|WNT4,-5.7
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654704,SHC-mediated cascade:FGFR3,,-7.2,3.6e+02,33,30198,18,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-5.6
CNet-SVM,WikiPathways,27,WP382,MAPK signaling pathway,,-7.2,43,14,30198,249,14,5,36,13,2002|2246|2253|3725|3845,ELK1|FGF1|FGF8|JUN|KRAS,-5.6
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654706,FRS-mediated FGFR3 signaling,,-7,3.2e+02,31,30198,20,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-5.5
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654719,SHC-mediated cascade:FGFR4,,-7,3.2e+02,31,30198,20,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-5.5
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654688,SHC-mediated cascade:FGFR1,,-7,3.1e+02,30,30198,21,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-5.4
CNet-SVM,Reactome Gene Sets,6,R-HSA-5655332,Signaling by FGFR3 in disease,,-6.9,2.9e+02,30,30198,22,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-5.4
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654712,FRS-mediated FGFR4 signaling,,-6.9,2.9e+02,30,30198,22,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-5.4
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654699,SHC-mediated cascade:FGFR2,,-6.9,2.8e+02,29,30198,23,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-5.3
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654693,FRS-mediated FGFR1 signaling,,-6.9,2.8e+02,29,30198,23,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-5.3
CNet-SVM,WikiPathways,27,WP399,Wnt signaling pathway and pluripotency,,-6.8,81,18,30198,107,14,4,29,12,3725|7480|10009|54361,JUN|WNT10B|ZBTB33|WNT4,-5.3
CNet-SVM,KEGG Pathway,24,hsa04010,MAPK signaling pathway,,-6.8,37,13,30198,294,14,5,36,13,2002|2246|2253|3725|3845,ELK1|FGF1|FGF8|JUN|KRAS,-5.3
CNet-SVM,Reactome Gene Sets,6,R-HSA-5654708,Downstream signaling of activated FGFR3,,-6.7,2.6e+02,28,30198,25,14,3,21,11,2246|2253|3845,FGF1|FGF8|KRAS,-5.3
CNet-SVM,GO Biological Processes,19,GO:0031128,developmental induction,19_GO:0032502 developmental process,-6.7,2.6e+02,28,30198,25,14,3,21,11,2246|2253|54361,FGF1|FGF8|WNT4,-5.3
